ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
USA;Americas;Northern America;United States;915882680.7;5.9%;"(US. Census Bureau, 2015; U.S. Dept. of Interior, Bureau of Land Management, 2015)";5.1-20%;5.3;"(US. Census Bureau, 2015; U.S. Dept. of Interior, Bureau of Land Management, 2015)";5.1-20%;0.4%;(U.S. Dept. of Interior, Bureau of Land Management, 2015);0.1-5%;GIS calculations on government data show that lands legally recognized to indigenous peoples in the USA cover a total of 48.87 Mha (5.34% of the country land area). They include American Indian reservations (federal and state recognized, or joint-use areas), Off-reservation trust lands, Hawaiian home lands, Alaska ANCSA Conveyances, and Alaska Native allotments.<br>In addition, 3.52 MHa (0.38% of the total USA area) are ANCSA selected lands that have are yet to be transferred either to the state or Native corporations.<br>Sources :<br>US. Census Bureau, 2015, 2015 TIGER/Line® Shapefiles: American Indian Area Geography, https://www.census.gov/geo/maps-data/data/tiger-line.html<br>U.S. Dept. of Interior, Bureau of Land Management, 2015, SDMS Land & Resources Map Interface, http://sdms.ak.blm.gov/sdms/<br><br>Other disputed indigenous territorial claims still exists in the Continental United States, such as over the Black Hills, but their area could not be quantified. Thus, they are not included in the baseline estimate of not formally recognized indigenous lands.   <br>Sources :<br>James Anaya, 2012. Report of the Special Rapporteur on the rights of indigenous peoples, The situation of indigenous peoples in the United States of America. UN doc. A/HRC/21/47/Add.1. Available at : http://unsr.jamesanaya.org/country-reports/the-situation-of-indigenous-peoples-in-the-united-states-of-america;2017;
UMI;Oceania;Other;United States Minor Outlying Islands (USA);4667.9119;No data;;No data;;;No data;No data;;No data;;2017;
VIR;Americas;Caribbean;United Stats Virgin Islands (U.S.);36179.225000000006;No data;;No data;;;No data;No data;;No data;;2017;
URY;Americas;South America;Uruguay;17446291.0;No data;;No data;;;No data;No data;;No data;;2017;
UZB;Asia;Central Asia;Uzbekistan;43059811.0;No data;;No data;0;(RRI, 2015);0;No data;;No data;Uzbekistan does not have a statutory or regulatory framework that provides management and ownership rights to Indigenous peoples or local communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
VUT;Oceania;Melanesia;Vanuatu;1237305.42;0.98;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;98.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Constitution adopted at independence affirms the principle that all land is owned by the indigenous customary owners and their descendants (98% of the country land area), although the Government is also entitled to own land (2% of Vanuatu land area).<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
VAT;Europe;Southern Europe;Vatican City;52.5931;No data;;No data;;;No data;No data;;No data;;2017;
VEN;Americas;South America;Venezuela;90346697.94;25.9%;"(Fabrice Dubertret, 2015 - Calculation based on COIAM, 2014; RRI, 2015)";20.1-40%;3.2;(RRI, 2015);0.1-5%;22.7%;"(Fabrice Dubertret, 2015 - Calculation based on COIAM, 2014; RRI, 2015)";20.1-40%;In Venezuela, 2.84 Mha of community lands have been titled and designated for Indigenous peoples between 2005 and 2014. According to a report of the Coordinating Body of Indigenous Organizations of Amazonas, these demarcated lands account for only 12.4% of the total Indigenous lands and habitat. Considering these numbers, if 3.22% of the country land mass has been titled as Indigenous land, 20.06 Mha (22.7% of Venezuela land mass) are still to be demarcated.<br>Sources :<br>Coordinadora de Organizaciones IndÃ­genas de Amazonas, 2014. Comunicado de la Coordinadora de Organizaciones IndÃ­genas de Amazonas (COIAM) sobre el proceso nacional de demarcaciÃ³n de hÃ¡bitat y tierras indÃ­genas a los 15 aÃ±os de aprobaciÃ³n de la constituciÃ³n de la republica bolivariana de Venezuela. Available at : http://www.forestpeoples.org/sites/fpp/files/news/2014/12/Comunicado%20COIAM%20Proceso%20%20Demarcacion%2015%20A%C3%B1os%20Constituci%C3%B3n.pdf<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
VNM;Asia;South-Eastern Asia;Vietnam;32572673.367;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, Vietnam has 54 recognized ethnic group, and 53 of them are ethnic minority groups having their own distinct cultures and traditions. They are accounting for around 14% of the country's population. The Government of Vietnam does not recognize ethnic minorities as indigenous peoples.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
WLF;Oceania;Polynesia;Wallis and Futuna (France);15632.1;No data;;No data;;;No data;No data;;No data;;2017;
ESH;Africa;Northern Africa;Western Sahara (Spain, Contested);26762610.97;93.3%;(Liz Alden Wily, 2015);80.1-100%;;;No data;No data;;No data;The dependent territory has not been assessed yet.;2017;
YEM;Asia;Western Asia;Yemen;45370900.062;No data;;No data;0;(RRI, 2015);0;No data;;No data;Yemen does not have a statutory or regulatory framework that provides management or ownership rights to Indigenous Peoples or local communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
ZMB;Africa;Eastern Africa;Zambia;74118495.3508;67.5%;(Liz Alden Wily, 2015);60.1-80%;67.5;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;"The estimate of total community land area is derived through exclusion of TPA, urban lands, private leasehold lands in the rural sector and a standard subtraction of 1% of country area for rural public service lands.<br>Note that in order to estimate the total community land area a major adjustment to the total TPA area has been made through excluding 17% of protected area land on grounds that these fall within the customary sector. This includes areas governed jointly by communities and state agencies through joint forest management agreements or under the aegis of wildlife management boards.<br>While the law (1995) protects customary rights and disallows alienation of community lands (""customary lands"") without the permission of traditional authorities (chiefs), it does not provide for formalization of customary rights by individuals, families or communities other than through extinguishing customary rights in favour of statutory leaseholds; this eliminates community jurisdiction and transfers the lands into state land, from which the state issues leases. There is a lack of official or consistent information on the area alienated. The figure or 12.9% is used here of which around half was located in customary lands adjacent to urban areas. (Key source on data: Augustine Mulolwa, pers. comm. Sept 2015).<br>Refer elsewhere on site for legal review against indicators (Liz Alden Wily).";2017;
ZWE;Africa;Eastern Africa;Zimbabwe;38769663.0;42.4%;(Liz Alden Wily, 2015);40.1-60%;42.4;(Liz Alden Wily, 2015);40.1-60%;0;(Liz Alden Wily, 2015);0;The official figure (since 1982) for communal lands is used here as the area presumed to be community lands, excluding state lands and private registered lands. This figure is 16.4 million ha or 42.43% of the total country area excluding water bodies. Tenure within Communal Lands is permissive occupancy and use only, on lands governed officially by Rural Councils in consultation with local chiefs, norms being derived from customary tenure. Ownership is vested in the President.<br>Latest source of data : Pers comm: Propser Matondi, Ruzivo Trust, Sept 2015. <br>Refer elsewhere for legal review against indicators (Liz Alden Wily).;2017;
GBR;;;United Kingdom;;;;;5.860237723874577;;;;;;According to the Eurostats study on common lands in Europe of 2010, common lands in the UK is always permanent grassland in the form of rough grazing. Much of these lands are found in the remote upland areas, and in many instance they have at least one special designation preventing their agricultural improvement. The area of these common lands across the UK are :591 901 ha in Scotland, 427 889 ha in England, 180 305 ha in Wales, 36 438 ha in Northern Ireland. Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Jones, Gwyn. 2015. Common Grazing in Scotland - importance, governance, issues. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons10Jones.pdf. There are also some lands held in in community ownership in Scotland. The latest figure of their total area is 0.19 Mha (470 094 acres). Based on a land mass of Scotland of 7.79 Mha (19.25 M acres), this would represent 2.44% of Scotland’s land mass. This figure has been calculated using the definition of Community Ownership that was agreed by the Scottish Government Short Life Working Group on community land ownership (I million acre target group) in September 2015. <br>Source: Peter Peacock, Community Land Scotland, personal communication. 2015/09/21. The component countries of  the United Kingdom have been treated separately on LandMark.;2017;
